,premise,hypothesis,label
62,A man standing outside an ice cream truck at night.,A man is standing outside.,0
63,A woman holds a baby surrounded by children in face paint.,Children watch a woman hold a baby.,0
64,A woman in a pink shirt gets ready to board a hot air balloon.,A woman in a shirt gets ready.,0
65,"A woman in a black bikini holds a baby at the beach, while another little girl watches a dog.",A woman on the beach.,0
66,"A man at work in a warehouse on break, reading the newspaper.",A man reads the baseball game recap.,1
67,"A young boy, wearing blue protective gear on rollerskates is hunched over on one knee.",A young skater is injured.,1
68,A man sits under an umbrella beside a pond while he works.,A woman is swimming in a pool.,2
69,A person with a multicolored hat stands just behind a mosaic featuring Spanish words and in front of a grassy hill.,a group of  bakers rob an artist,2
70,A skier performs a high jump in a snow-covered valley.,The athlete is practicing for the Olympics.,1
71,A person walks on an empty sidewalk wearing a heavy coat.,Someone wearing a coat walks alone on the sidewalk.,0
72,People dressed in red pants wearing yellow gloves hold bright fireworks suspended on long poles.,People are in a parade holding fireworks.,1
73,A group of young girls walking down a street.,A group of teenagers are talking on cellphones.,1
74,"Two men are standing outdoors on a sunny day holding pieces of a new item, possibly a small grill, while one of the men studies the assembly instructions.",Two men are playing in the rain.,2
75,A girl laughs while playing outside.,Some people crying,2
76,Man kneeling while petting large bird in front of river.,the man  is on green grass,1
77,A bunch of people and a handicapped man are on a street sidewalk that has a bus and red car in the background.,The handicapped man is in the hospital getting treatment,2
78,A man in a black shirt is reaching above his head.,The man is trying to catch a ball.,1
79,A man on a skateboard is being pulled by a running dog on a leash.,The dog is pulling the man.,0
80,A man skateboarding in front of graffiti.,There is a man skateboarding.,0
81,A man in a workout suit is reading to a woman.,A man and woman are in a gym.,1
82,Six men appear to be reacting to the ground punch of a man dressed in black as a beautiful blue pervades the ocean and sky that seem to merge with beach.,The men are playing basketball at the gym.,2
83,A boy in a baseball uniform runs the bases.,A boy sits in a chair and paints.,2
84,A woman in jeans walks by a bus with an ad depicting a woman peering over her sunglasses.,a man jumping rope,2
85,Mechanic fixing yellow car.,The car is on fire.,2
86,A group of people standing outside a building.,a old man was talking,0
87,There are people sitting in seats that are in rows.,There are people in seats at the theater.,1
88,A young boy on a skateboard is crying while an adult touches his shoulder.,The young boy has taken his first tumble on his new skateboard.,1
89,A man with facial hair works on some sort of stone sculpture.,A man is sitting in a barbers chair.,2
90,A man is in midair at a skate park.,A person is in air doing a skate board trick.,0
91,A man trying to throw a ball into red cups.,A woman trying to throw a ball into red cups.,2
92,A couple just got married and are taking a picture with family,A couple just got married to each other.,0
93,A man takes out a cigarette.,A man takes out a knife.,2
94,Two women wrestle to the ground while a judge watches.,These women are lovers off the matt.,1
95,In an indoor bike arena 3 people are getting on bikes while men dressed in suits look on.,There is a bike competition in the arena.,1
96,a street performer in an orange jumpsuit rides a tall unicycle as a crowd watches,The street performer is a clown and wants your change.,1
97,A baby is stacking rocks on the beach.,A baby is stacking rocks.,0
98,"A middle-aged red-haired woman, smiling, while drying her hair.",a woman with red hair smiles,0
99,An older man working on antiques,An elderly man is looking at some antiques,2
100,A man is tossing an onion in the air in the kitchen.,the man is tossing an onion in the air,0
101,"A young man samples and peddles the wares of a fresh produce stall in possibly a ""farmers market"".",A man is tasting fresh food.,0
102,Men playing frisbee in the woods.,A group of women enjoying a game during the day.,2
103,A man and two women sitting near a couch together.,The man has a beard.,1
104,A brown-haired lady smiles at the camera in front of trees.,A brown-haired person smiles at the camera in front of trees.,0
105,Thie little girl is taking a picture with a camera.,A little girl has a camera.,0
106,"On a clear day, an older girl chases a boy along a beach with a forest nearby.",The children are home playing xbox.,2
107,Three women walking down a sidewalk in the early evening.,Three women are on their way to a bar.,1
108,A man and woman smile after being wed.,A man and woman are happy that the day is over,1
109,A person runs in a competition in front of onlookers.,A person is singing for an audience.,2
110,Determined to capture the essence of this landscape before sunset.,The sun has burnt out.,2
111,"A man and a woman are talking to another man, and there is a computer in front of them.",The man and woman are talking,0
112,A fireman lifting up the red tape so he can walk underneath it.,A firefighter can't get past the red tape.,2
113,A child holds another child while on the ground.,The child is a boy.,1
114,A singer of a band on stage.,A singer is on stage.,0
115,A woman pushes her cart passed local artwork.,A woman is shopping for a painting for her house.,1
116,NYPD officers watch people on a boardwalk near the beach.,Large people watching,1
117,A young girl in a flowered dress interacts with her father outdoors in a park-like setting.,A young girl eats dinner indoors with her father.,2
118,Three people are walking outside of a run down red brick building.,The people are discussing the state of the run down building.,1
119,A man is eating an ice cream cone across the street from a bus stop.,A man is eating a sandwich.,2
120,two women at a table and child playing on the floor,people at play,0
121,An elderly couple walk hand in hand on a beautiful day together near a busy street.,A man and a woman walk hand in hand on a sunny day.,-1
122,"Three women in pink dresses, standing on grass, are holding flowers on a sunny day.",There are women standing in a garden with flowers in hands.,0
123,A girl smiles while holding her bike in a field.,A girl is hit by a car in a city street.,2
124,A person points out to the lake with mountains in the background- while a boat floats out on the left.,A man points to the mountain with the lake in the background.,2
125,"Three people, one with a black shirt, one with a navy blue jacket, and one with a red t-shirt, working in an office with a large messy bookshelf.","Three humans are in an office, and all have different clothes on.",0
126,People at work landscaping an area.,People working outside.,0
127,Two men are running to catch a Frisbee.,Two men are running after the football.,2
128,A group of children dance and play instruments under colored lights.,A group of children are sitting quietly listening to music.,2
129,a young boy wearing white shoes chasing after several chickens,Several high school girls are being attacked by protective roosters.,2
130,A few people are walking down a hilly street.,The people are all wearing hats,1
131,"Two climbers attempting to climb a steep, snow-covered peak, nearing the top, where two other climbers await them.",Four men are on a very cold mountain,0
132,A black dog crossing a stream,The dog is yellow.,2
133,Men and women sitting outside at a table toasting with wineglasses.,Wedding attendees raise their wineglasses for a toast.,1
134,Redheaded woman and long-haired man.,A woman is with a long-haired man.,0
135,A woman with blond-hair is sitting in a booth with a drink working on her laptop.,The woman is sitting working on her desktop.,2
136,Some people are having a cookout.,two dogs fight,2
137,"A woman wearing a blue dress and high heels at a train station walks away from the tracks towards a yellow upright suitcase, while a bald man in black looks on from a nearby bench.",The woman is walking towards the train tracks.,2
138,A woman razor cutting another woman's hair.,Two woman are painting their nails.,2
139,A smiling young woman wearing a gray shirt is wearing a bag with a large black strap over her left shoulder.,The smiling young woman is on her way to a college class.,1
140,A crowd of people walking on the sidewalk and crossing the street.,A crowd of people is moving.,0
141,Three people sitting and one is lifting his leg.,Two people are lifting their leg,1
142,A boy throws a basketball during a game.,A boy is playing basketball during the final four.,1
143,A man is standing outside of a red car which is parked in a driveway.,A man standing beside a car.,0
144,Two women sitting on a bench looking across the street.,Two women sitting on a bench at the park.,1
145,A man jumps his bicycle in the air between two rocks.,The man is seated on a couch reading a book.,2
146,Two people are making an exchange.,The people are jump roping,2
147,A guy in a white shirt skateboarding on a ramp.,A skateboarder rolls along.,0
148,Two guys are in he air with neither foot touching the ground.,"Two guys are in the air, not touching the ground.",0
149,A blond fisherman standing in the water prepares his hook.,A fisherman stands in the water with his worms.,1
150,A street performer hula-hoops while singing in attempt to earn money from passer-bys.,He sings sweetly while swaying his hips.,1
151,"A man in jean shorts and a white shirt looks around at a market stand carrying belts, purses, and accessories.",The man is walking on the moon.,2
152,"the man is celebrating a big win and he opened a bottle of wine, but it squirted out all in the air.",A man is sad because of a loss.,2
153,One woman with a drink in her hand is smiling at something while her friend looks on,A woman is alone,2
154,A rollerblader riding a handrail.,A rollerblader is outside.,0
155,A young man with glasses is playing the violin.,A man is playing the violin,0
156,"A man wearing white pants, is performing on stage.",A man is watching in the audience.,2
157,A man is playing a guitar with a child playing a harmonica while three young girls watch.,The child with the harmonica was very talented,1
158,The yellow dog is running on the dirt road.,The dog is chasing an automobile.,1
159,A bunch of kids are climbing on a tree and hamming it up.,The kids are using the tree as a vantage point.,1
160,Two tan dogs play in the snow.,Two dogs are playing in the snow.,0
161,A boy in a black and white shirt holds a red skateboard as he stands over the Hollywood Stars.,The boy is holding a skateboard.,0
162,A man in a blue jacket and brown hat uses a tool to cut wood.,A man holding a tool.,0
163,"A little girl wearing a polka dot shirt is standing in front of a sink washing clothes out, with a few wet items next to her.",The girl is getting tired of washing clothes.,1
164,A group of people who are wearing bright orange jackets and black pants are standing together next to big round cases.,A group of people are sitting together.,2
165,A surfer rides the waves.,A person is surfing at sundown.,1
166,"A woman looking in a telescope to look at something really small, most likely some sort of science lab.",A woman is examining samples in a science lab.,0
167,A large brunette mom walks with her son holding a leash attached to his dog-shaped backpack.,A tiny man holds onto his dog's leash.,2
168,"A child in white briefs is pictured jumping in midair above the water of a rive, with trees in the background.",The child will land in the water soon.,0
169,Two men in sponsorship shirts open bottles that are spraying.,Two people are making things wet.,0
170,Two football player are in the kick off position in front of a crowd.,The football player is being shouted at by the coach.,1
171,"Two men, one of them with a guitar, perform at a music concert.",A man plays his guitar.,1
172,A group of girl dancers gathers in a group while another leaps into the air.,A group of girls is dancing.,0
173,Kids are driving toy carts around a track with the assistance of parents.,Children are driving go-carts.,0
174,One Baseball player racing towards the base while another tries to catch up with him and score an out.,A baseball player is attempting to get another out.,0
175,Two women half another woman fasten up her wedding dress.,A woman is wearing a wedding dress.,0
176,Four professional looking men are standing in front of a coffee stand.,The coffee stand is closed.,2
177,A female performer with a violin plays on a street while a woman with a blue guitar looks on.,Two men are performing with trumpets on a platform.,2
178,A dog tries to play with a ball that is tossed to it.,a dog playing with ball,0
179,A shirtless man is riding a motorcycle.,The policeman is patrolling the town.,1
180,Three men walk in a parking lot toward a factory.,Three men are outside.,0
181,A man and a small girl in a pink shirt are sitting on a bench in a park.,They are family,1
182,A running girl prepares to kick a soccer ball.,A girl about to kick a soccer ball.,0
183,A smiling man with a yellow hard hat is peeking out from a manhole.,A man looks out from a manhole,0
184,A group of women walk down the street all carrying open umbrellas to protect them from the rain coming down from the sky.,A group of women are shielding themselves from the rain.,0
185,Two girls sitting in a tree at fair.,The girls are sitting in a tree.,0
186,Two men on a blue canoe in the middle of a large body of water.,two people row a machine indoors,2
187,A man and woman are riding a motor scooter.,A husband and wife riding a motor scooter to their honeymoon.,1
188,A woman with a tattoo on her back walks away from the camera.,A woman in dress shooting dice in a back alley.,2
189,Three children and an adult paddle a canoe down a heavily forested river.,Three children are going down a river with their instructor.,1
190,Two men and a woman are having a conversation.,The people stood in silence.,2
191,A man and a woman are swimming in a pool dancing together in the water.,A man and a woman are cutting the cake at their wedding.,2
192,A black dog runs down a snowy hill with his legs deep in the snow.,A black dog runs through the snow chasing the cat,1
193,"a young child in a t-shirt on a bike stands in on a road in front of a beach, while others are on the sand near the water in the background.",A whale steals the child's bike,2
194,A woman in blue jeans selling eatables on the road.,A woman is selling food.,0
195,Team members watching a baseball game in progress from the dugout.,The team is riding a bus to a tournament.,2
196,mixed ethnic girl posing in green.,A young ethnic girl posing for a camera.,1
197,Woman sitting in a red chair with a dressy purple dress on and a book sitting on the arm rest.,A woman with a book next to her.,0
198,A crowd of people wearing blue LA baseball caps at a game and a lady with a yellow shirt is walking up the steps with a man behind her wearing a dark plaid shirt.,Fans attend a game.,0
199,A man stands on top of a brick structure as another man looks on.,A man stands on top of a chimney looking down on his friend,1
200,A group of employees dressed in blue are gathered in front of a building.,A group of mostly male employees are gathered in front of a building.,1
201,"A man with a cowboy hat is playing a guitar and singing in a neighborhood, for tips.",A coboy is singing for tips.,1
202,"A woman wearing a blue skirt, high heels, a white shirt, green jacket and headband is walking out of a tunnel.",The woman is riding a sarcastic llama through the forest.,2
203,"One man in red shirt and black pants with a man in white shirt and tan shorts, golfing.",Two people are golfing.,0
204,Front view of a female bike marathon.,A bike is going under repairs.,2
205,A boy wearing a white top is resting on his scooter beside a concrete post.,A boy is watching television on a couch.,2
206,"A man surfs, the foam right behind him.","There is one man in this picture, and he is outside.",0
207,"His eyes filled with joyous expectation, a skier prepares for a jump.",A skier is about to ski.,0
208,"A white-haired man with glasses, wearing a gray shirt works on a white sculpture.","A blonde-haired man with sun glasses, wearing a white shirt works on a black sculpture.",2
209,"Several people sit on a crowded subway, while two woman stand in the middle holding the poles.",The two women are sitting on the floor of the subway car.,2
210,Three people are in a pool dodging a giant splash.,There are people in the swimming pool.,0
211,"A young, shirtless man wearing sunglasses smokes a cigarette in a field.",The male sits on the beach.,2
212,2 boys in the foreground in a karate competition and coaches in background looking on with another coach sitting at table.,the boys are about to fight,1
213,Two young girls with sponge bats being to play while an older girl is acting as the referee.,young girls play baseball,0
214,A baseball player running to the base as another players tags him out.,A player is running.,0
215,a skiny dog jumping in the air with a tennis ball in his mouth.,The dog is outside.,1
216,an Olympic winner wearing her two gold medals and a gray jacket showing a peace sign and a wave,Chuck after winning gold in both the 100 meter dash and water polo.,1
217,young men trying to do maintenance on a vehicle.,An old man talks to a mechanic.,2
218,"A young blond& tan woman in an orange shirt reads from a highlighted text as she clutches a mug, at a table with a package of Oreo cookies; in the background, a TV has been turned on.",An old black woman in a blue shirt is knitting.,2
219,A small boy swimming underwater,The boy was a good diver.,0
220,Woman in a tennis match is getting ready to hit the approaching tennis ball.,The woman is playing tennis.,0
221,"A full modern ensemble concert entertains an audience, with about ten members on stage and the audience shown applauding, and a woman in the audience has a blue-green scarf covering her head.",A musician is alone in the room.,2
222,Many men on the back of a pick up truck going down a road.,The sun is shining on the truck while it drives down the road,1
223,People hike in the snow surrounded by trees.,People enjoy a short trek through the woods on a hot summer day.,2
224,A girl in a yellow bathing suit from a cliff looks at a person in the water.,The little girl is thinking about jumping off the cliff and cannonballing into the water below.,1
225,a young man wearing a backpack and sunglasses is walking towards a shopping area.,A man walks near a store,0
226,"Two people look toward the camera as they cross the street in front of a red building with a sign saying, ""Royal.""",A red building has a sign.,0
227,Three children eating a meal outdoors on a wooden table.,three children at a picnic,1
228,It appears to be a makeshift boat floating down a river while a woman is singing.,The boat floats in a pond.,2
229,A young man sits with a dog outside.,A Venusian writes superb poetry.,2
230,A group of people wearing floral shirts playing in a band outside.,People are playing in a band for a crowd.,1
231,An African American man speaks intensely into the microphone.,A man is speaking of politics.,1
232,A girls is jumping in the sand.,A girl rides a bicycle on the sidewalk.,2
233,A woman with blond-hair is holding up two self portraits of herself.,A woman has no hair.,2
234,a green John Deere tractor in a field pulling a red trailer.,The John Deere tractor pulls the red trailer through the field.,0
235,Man with glasses and red hat reading by lamp light,The man is reading a newspaper.,1
236,A man sits on a horse with mountains in the background.,A man is sitting on the horse.,0
237,An overhead view of factory workers packaging product.,A view of teachers at a school,2
238,A man shoveling his front steps after a snowstorm.,The man is trying to get to his car.,1
239,A soccer field where the goalie who is wearing a green jersey has just caught the ball.,a goalie is outside,0
240,A person in uniform is standing and their shadow is being cast next to them.,A military officer is in his dress uniform.,1
241,A singer in a white button-down shirt is performing while a girl plays the guitar in the back.,Two people are performing musically.,0
242,Two large dogs are playing in a large grassy area.,Two dogs are eating on their beds.,2
243,A man with black hair and a jacket walking by a brick wall with a gray keep clear door in the middle.,A man is sprinting down the racetrack.,2
244,People in unusual striped clothing kneeling aim devices to the left.,Some people are wearing unusual clothing.,0
245,The sign indicates a marker for The Arlington Line.,The sign shows the way to Arlington,1
246,A woman is holding a little girl who is trying to catch bubbles.,A woman cries because her daughter fell and hurt her foot.,2
247,A man in a red shirt and a blue hat digs sand in front of a sand sculpture of a man sitting on a throne.,A man is swimming in the ocean.,2
248,A young girl running down a street.,girl runs down street,0
249,A man takes a walk down the street.,A person is sitting at the bus stop outside the coffee shop.,2
250,Two tan dogs share a blue ball while standing on a beach.,The dogs are eating dinner.,2
251,A tennis player in orange is striking the ball with her racquet.,The attractive athlete has posed nude.,1
252,A man in a green shirt climbs an indoor climbing wall.,A man climbs an indoor climbing wall.,0
253,The man is using 5-gallon buckets as drums.,A man is playing with a fretless bass made from a cardboard box.,2
254,A brown dog plays at the beach.,A brown dog is outside.,0
255,The pit crew helping their driver get new wheels at a race.,the car never started so they could not participate in race,2
256,A man walking through a large grass-covered valley.,A man is outside,0
257,"An urban, outdoor, daytime setting shows a building with blue walls and prominent graffiti; with two pallets leaning against the building and a sign overhead that says ""TAY SHING CORP. 1 ALLEN ST."".","A set of pallets is stacked against a building, blocking the fire exit and posing a risk",1
258,Two women stand wearing sunglasses.,Two women wear sunglasses indoors.,1
259,A lady with a green shirt and tan shorts is picking out strawberries and putting them in a plastic bag.,A lady picks some strawberries for another person,1
260,A few students are waiting by a hallway while on their laptops.,The hall is empty.,2
261,A person is riding a bike on a dirt road.,The person rode a bike on the road.,0
262,A man on a BMX bike performing tricks on in midair while a crowd watches him.,Nobody is doing tricks,2
263,Men standing on scaffolding are working.,Men are sitting on steps outside and not working.,2
264,A girl wearing a pink dress swings a hula hoop around her neck.,A kid plays with an outside toy.,0
265,A woman in a floral print dress and a shaved head at a store.,The woman left the store.,2
266,A merchant is rearranging her items for sale.,A seller arranges her goods.,0
267,A group of women are standing around in hats.,A group of people in discussion,1
268,man in black walking up a sidewalk.,A man sitting at the bus stop.,2
269,Two men wearing blue shirts and dark pants are shaking hands.,two men are running from each other,2
270,Two young women in black pants and white shirts sit on an electrical box and talk.,they are by the road,1
271,Construction workers are working together to carry a piece of equipment.,A construction crew is carrying some equipment.,0
272,boy in class looking bored thrown on his desk.,A boy has his head down,0
273,A brown dog jumps in a wooded area.,The dog is jumping through water.,2
274,An old man in green is walking down a broad sidewalk.,An old man falls down the stairs,2
275,A group of women with small children sitting around a mat in a room.,A group is sitting indoors.,0
276,A man hammering a nail into a beam.,A person is building a house.,1
277,A man on a jet ski is leaping up into the air above blue water and a small wave.,"He was considering jumping the shark, but settled for jumping the baby seal.",1
278,"Topless old man wearing slippers, navy blue pants and a white hat while reclining in a chair outside.",The man is trying to get a tan,1
279,"A football game between a gold team and a white team, a team member from the gold team is signing a time-out.",The score of the game is tied.,1
280,A girl wearing a gray shirt and a headband smiles as she holds a brown pottery.,the girl is eating,2
281,A worker walking down the street.,A man is working out in a gym,2
282,A man and woman are sitting on the floor looking through baggies.,They people are inspecting drugs,1
283,A infant in an incubator.,A sick baby cries in her hospital bed.,1
284,A group of two women and two men dancing in the streets.,The people are in a dancing competition.,1
285,The stop sign is folded up against the side of the bus.,The stop sign is pointed out the side of the bus.,2
286,Two Asian women are completing tasks and there is a beautiful background of bamboo.,two bamboo factory workers make textiles,1
287,A woman in a polka-dot shirt and black boots is walking down the street and being approached by a man in a black jacket and jeans.,A woman is walking down the street and is approached by a man.,0
288,An elderly woman is reading a paper in an office.,An old lady is reading a paper.,0
289,A daughter helps her mother in the kitchen in this family photo-op.,A daughter explains how to better use the camera her mother has on her phone after failed family snap shots.,1
290,A man wearing a white hat and white gloves is preparing food.,A man is watching TV.,2
291,Two women with blond-hair look at their cellphones while standing next to a bicycle.,The two women are reading text messages on their phone.,1
292,A man is wiping snow off of his car in front of a red building.,A man wiping snow of a car in front of a church.,1
293,A hospital staff watching something.,A hospital staff has its eye on something.,0
294,A person wearing a white shirt and red shorts is playing a tennis match.,someone is playing a sport outside.,0
295,A man and female prepare breakfast together in the kitchen with eggs and potatoes.,An elderly couple are making breakfast.,1
296,A woman is kayaking in a yellow kayak with her dog.,A woman enjoys the scenic views from her hot air ballon with her dog.,2
297,A black dog is chasing a punctured ball in the snow.,A black dog is running after a brand new ball in the sand,2
298,A woman is standing in the street with a baby in a sling.,She is waiting for traffic to stop.,1
299,A dog jumps in the air next to a man on the beach.,A dog and a man are sitting on a couch,2
300,"A child, wearing a red shirt and a red plaid skirt is shown holding a doll, with a door to a house in the background.",Real life Bonnie waves goodbye to Andy,1
301,"A parade with men and women in blue blowing instruments, and beating drums standing in front of a building.",The parade is for a holiday.,1
302,A man who is wearing the same colors as the bike is riding down the street.,A man rides his bike down the street on his way to the park.,1
303,Man beating on pots and pans with a wooden spoon and stick.,The man is beating on a drum.,2
304,A jet smoking in the air traveling upwards.,A jet climbs altitude.,0
305,A person is working in the garden.,a person in garden,1
306,Tourists are viewing a statue of a Greek god.,Tourists in Rome are looking at sculptures.,1
307,A black dog is running after a white dog in the snow.,The dogs are in the snow,0
308,A small boy rides on a playground toy while pointing to a slide.,A small boy is at a playground,0
309,The men are having a pillow fight outside.,Men are having a pillow fight.,0
310,The girl in pink is watching the boy catch a fish from the river.,The girl wishes that she could fish like the boy.,1
311,Three men and a small boy work on a green model train outside.,The young boy is enjoying time with his uncles.,1
312,"A man stands at a traffic light, waiting to cross the street.",A man is standing by the street.,0
313,Two small children rowing a small kayak.,The children are on the water.,0
314,A cat sits atop a sign looking down at the people below.,An animal is perched on a sign post.,0
315,An African American in brightly colored clothing talks on a cellphone on a busy street.,A person is talking on a landline,2
316,"A halway has a sign that says ""PORT DU CASQUE OBLIGATOIRE"" and some graffiti.",There is a mandatory bicycle helmet sign in the hallway.,0
317,There are many participants in this bike race.,The bike race has lots of contestants today.,0
318,A man is pulling a group of children in a horse-drawn cart past stone buildings.,The children are riding in a motor car.,2
319,A man is about to hit the water.,A man is almost in the ocean water.,1
320,The band is walking down the street playing there instruments.,A man is singing in Center City.,2
321,3 men are playing and riding on a vehicle made of musical instruments including a drum and a piano.,3 men are not playing,2
322,A janitor stands on a moving walkway whilst cleaning in an airport.,a janitor cleans the airport,0
323,"A man, two women, and a child watch fireworks while the child sits on the shoulders of one woman.",A family is indoors watching fireworks on TV.,2
324,"A woman in a navy blue shirt and jeans stands in front of a metal building, her hand resting on a fence, with her black and white dog lying in front of her.",A woman wearing jeans stands in front of a metallic building while her dog lays at her feet.,0
325,A big brown dog plays with a smaller gray dog on the grass.,A female dog plays with a male dog.,1
326,Young boy drifting in small canoe on a calm blue river.,A girl is skiing on a lake.,2
327,Man looking through postcards while walking his dog.,Sad man looking through postcards while walking his dog.,1
328,A woman in a blue shirt and sunglasses lies on a red blanket in a grassy field with a bike set down next to her.,"After a long bike ride, a young woman takes a nap in the park.",1
329,"A man in a straw hat, and a man in a striped shirt are each drinking out of their own styrofoam cups and making strange faces.",Two men make strange faces as they drink from styrofoam cups.,0
330,2 African adults and 8 African children looking at pictures on a table.,Everyone looks at the sky.,2
331,The outfielder dives to catch the popup at center field.,An outfielder has caught the ball that was hit out into center field.,1
332,a black and brown dog digging through the snow.,a black and brown catdigging through the snow.,2
333,Two teen girl hanging out on the futon.,the child is black,1
334,A cowboy is riding a horse whilst spinning a lasso around.,A cowboy is riding a horse whilst spinning a lasso around to try and catch an animal and win a prize.,1
335,A woman wearing sunglasses walking with a cigarette in her hand.,A woman just got out of a stressful interview and is walking while smoking.,1
336,"One man, airborne, wearing an orange sweatshirt and blue jeans, does a skateboarding trick.",A man transcribes an interview.,2
337,Women and men in scrubs using a laptop.,The women and men are playing baseball.,2
338,"A woman comforts a small, crying child in pajamas.",A woman was comforting the child who was crying because of a bad dream.,1
339,A man and a woman are in a kitchen eating what they have prepared.,The man are eating with utensils.,1
