,observation_1,observation_2,hypothesis_1,hypothesis_2,label
23,I was in our apartment reading room.,I left because I could not read.,Kids were playing to loud outside to concentrate.,Kids were playing so quietly outside so I could concentrate.,1
24,Jack wanted a 1967 Chevrolet Camaro his whole life.,Jack was so happy to make his childhood dream come true.,Jack saved his money until he was able to buy the car.,Jack was not able to save enough money.,1
25,Last night was brutal.,I vowed to never go to bed late again.,I stayed up way too late.,I went to sleep by 6 pm.,1
26,Mark punched a man who offended his girlfriend.,It turned out that the man Mark punched was a cop.,the woman showed her badge to mark.,the man showed his badge to mark.,2
27,Jennie was blowing bubbles outside on a summer day.,"It worked so good, they never paid for bubbles again.",Her family discovered dish soap made better bubbles than the store bought bubbles.,Jennie found it easier to fly a kite in the sky instead of blowing bubbles.,1
28,Billy's dad spent all morning raking leaves.,His dad was not amused as leaves flew everywhere.,Billy jumped on the piles to hear leaves screaming.,Billy jumped on the piles to hear leaves crunching.,2
29,Gina had a phone card to make long distance calls.,She decided she would call back later that evening.,Gina had a full balance on the phone card.,Gina had a low balance on the phone card.,2
30,Henry was traveling across the country by bus.,"Sure enough, his bus arrived shortly after.",Henry thought he missed his connection.,Henry was late and missed the bus.,1
31,My friends always asked me if I had a facebook account.,"Later, I was glad I had signed up.",I eventually gave in and signed down for facebook.,I eventually gave in and signed up for facebook.,2
32,Ricky was listening to some music in his room.,They arrived in the mail the next day.,Ricky ordered some food.,Ricky ordered some records.,2
33,Gina was watching the people in the next car argue.,"The car sped away, and Gina never saw them again.",The people in the truck saw Gina looking.,The people in the car saw Gina looking.,2
34,Jennifer has a cat that ripped a few window screens.,She puts them back in the window when she is finished.,Jennifer took out the screens to throw them away.,Jennifer took out the screens to repair them.,2
35,Richard and his family were in charge of an ancient mesopotamian site.,Richard found out a few days later that the group destroyed the site.,Richard guarded the site from any issues.,Richard discovered some hooligans outside the site.,2
36,It was Christmas morning.,"Finally, he had to grab a knife just to free the toy.",Many of the toys that the children received had plastic packaging that was difficult to open.,Many of the toys were easy to open.,1
37,Abe wanted to join the Navy.,Abe enlisted and became a productive member of the armed services.,Abe went to a Navy hiring event.,Abe went to a Navy firing event.,1
38,In 1982 we rode from Oakland to Boston by train.,The next time we went cross country we flew.,The trip took a short time by train.,The trip took a long time by train.,2
39,Brad's father was a Navy officer and he wanted Brad to enlist as well.,Brad enlisted - as a Navy researcher!,Brad didn't follow his father's footsteps.,Brad followed his father's footsteps.,2
40,Tina had a new puppy.,The puppy quickly learned to shake.,Tina taught the cat new tricks every day.,Tina taught the puppy new tricks every day.,2
41,Gina and her family were at her uncle frank's house.,"Gina knew she made a mistake, and it was too late to fix it.",she broke a vase while running.,"she almost broke a vase while running, but it survived.",1
42,Gina's jewelry had spilled all over the kitchen floor.,Gina hoped it wouldn't break completely in two.,Gina saw that she accidentally lost her gold chain.,Gina saw that she accidentally stepped on her gold chain.,2
43,Nancy was a cigarette smoker.,Nancy quit smoking after her friend died.,Nancy died of lung cancer.,Nancy's friend died of lung cancer.,2
44,My father has always pressured me to go to graduate school.,I am very relieved now that I have a plan.,I wasn't sure what to do with my future before.,I dropped out of school.,1
45,Amanda bought fabric for a craft project.,Amanda decided not to buy so much fabric in the future.,Amanda bought 2 yard of fabric because she wasn't sure how much she needed. before reading the pattern she realized she only need 1/2 yard.,Amanda bought 2 yard of fabric because she wasn't sure how much she needed. After reading the pattern she realized she only need 1/2 yard.,2
46,Madison had a song stuck in her head.,Finally she found the song.,"For the life of her, Madison couldn't name the song.",Madison knew the name of the song.,1
47,Carlton had always been afraid to dance with a girl.,Now he often dances with girls at social clubs.,Carlton never got the courage to dance with a girl.,Carlton worked up his courage and danced with a girl.,2
48,Kate wanted to start a new viral campaign.,Kate was disappointed.,SHe received thousands of reviews.,But she didn't receive that many views.,2
49,Bob had mountains of dirty laundry to clean.,"Frustrated, Bob gave up and called a laundry service.",Bob got his washing machine to work.,Bob couldnt get his washing machine to work.,2
50,Gina was in music class.,But she loved it nonetheless.,Gina could really carry a tune and her singing sounded wonderful.,Gina couldn't carry a tune and her singing sounded awful.,2
51,Bob was rafting with his friends.,He patched up his kayak with some tape.,Bob found a hole in his tape.,Bob found a hole in his kayak.,2
52,Bob was watching a movie with his girlfriend.,Bob was insulted and kicked his girlfriend out of his house.,Bob's girlfriend hated the movie.,The movie hated Bob's girlfriend.,1
53,Ana stepped on a shard of broken glass.,Ana resolved never to go barefoot again!,Ana cut her foot on the broken glass.,Good thing she was wearing shoes.,1
54,Lily was about to go on the red carpet.,It therefore made lily late.,Lily got caught in traffic.,Lily didn't hit any traffic.,1
55,The Smith family went on vacation to Florida.,They were excited to learn that the light was a rocket taking off.,The Smiths saw a strange light over Cape Canaveral.,The Smiths saw a strange light over California.,1
56,I was walking down the street.,I guess it was a case of mistaken identity.,Someone I knew waved to me.,Someone waved to me I didn't know.,2
57,Sarah was baking hand pies.,"After cooking them in the oven, they were ready to eat!",She got all ingredient out and start baking.,She got all the spoiled ingredients out and started baking.,1
58,I received a phone call at work from a new construction company today.,"By the end of the day, I sold 5 trucks and gained a new customer.",The company wanted to start business with us right away.,The company wanted me to call the police.,1
59,Ron wanted to bring his mom breakfast in bed.,His mom said it was the best birthday breakfast she had ever had.,Ron overslept and didn't make breakfast.,He cooked and fussed and dressed the tray with a fresh rose.,2
60,Weston had to film a commercial for film class.,Weston decided that he would make his commercial about the candy.,Weston was eating a new burrito he liked.,Weston was eating a new candy he liked.,2
61,Brad was getting ready for the fishing contest.,Brad's line tangled on the first cast.,Brad was ready for the contest.,Brad was ready for the beauty contest.,1
62,Harry received a birthday gift from his grandma.,He talked to his grandma and said thank you.,Harry's gift was a brand new laptop.,Harry's gift was a brand.,1
63,Tom loved Sicilia with all his heart.,He still longs for her from afar.,Sicilia broke up with Tom and stayed at home.,Sicilia broke up with Tom and moved away.,2
64,Neil was touring the city of Fez.,Neil had a great time.,It was a hot and humid day.,It was a warm and sunny day.,2
65,I have two adorable cats.,I meet them in the kitchen and feed them tuna.,The cats love to eat meat.,The cats hate to eat meat.,1
66,I stroked the paintbrush across the canvas.,When I looked at my creation I was proud.,I finished but the paint smeared all over the painting.,I finished my first colorful and solo painting.,2
67,Don was having an affair on his wife with Laura.,They confronted him as soon as he opened his closet door!,They went out to eat.,They both hid in the closet.,2
68,Sam was the funny girl.,"In senior year, a boy with no sense of humor asked her out.",She was very open to her friends.,She was very closed to her friends.,1
69,Everyday a group of high school students held a contest at lunch.,The group never held the disgusting contest again.,Last week they challenged people to eat the mystery pie.,Last week they challenged people to eat the pizza.,1
70,Georgia was trying to get her baby to sleep.,She finally gave up and let him cry it out.,But he would not go to sleep.,But the baby would not stop eating.,1
71,The kids went to the graveyard.,They loved playing frisbee.,They found a glow in the dark jump rope and began to play with it.,They found a glow in the dark Frisbee and began to play with it.,2
72,Dan thought he was a really good cook.,He was sad and bought some cook books on the way home.,Dan made a bad meal at his girlfriend's house.,Dan made a fantastic meal at his girlfriend's house.,1
73,Cassie had always dreamed about going to the prom.,Cassie was caught red-handed and grounded from going to the prom.,Two days before prom Cassie was caught stealing money from her moms purse.,Two days before prom Cassie stopped someone from  stealing money from her moms purse.,1
74,Jane loved riding her bicycle.,Jane survived the accident without a scratch.,"Jane tried to ride her bicycle on a dirt trail, and quickly had fun.","Jane tried to ride her bicycle on a dirt trail, but quickly fell.",2
75,When we were at my cousin's place we had to chop some wood.,It was my first time learning how to chop wood.,I had done it many times before.,I had never done that before.,2
76,Lary is the laziest person in town.,At this rate Lary will never get a job.,Lary hasn't posted his resume in 10 months.,Lary hasn't posted his end in 10 months.,1
77,Javier realizes that he is very hungry.,Javier feels much better after eating an egg.,He dropped an egg and broke it.,He cooked an egg and ate it.,2
78,Jim just graduated from the police academy!,Jim quickly became bored and turned in his badge.,He didn't realize the amount of paperwork involved.,He realized the amount of killing involved.,1
79,I could not find anything clean to wear.,"Now, I have plenty of clean clothing choices.",I gathered up all the dirty clothes.,I gathered up all the dirty clothes and washed them.,2
80,Today I went to the biggest sledding hill I could find.,I was okay and decided not to use the ramp.,I zipped down the hill at a high speed.,I walked up the hill at a slow speed.,1
81,I watched my neighbor Christina grow up to be a beautiful young lady.,Christina had a horrific car accident and has extensive brain damage.,Christina was in the right place at the right time.,Christina was in the wrong place at the wrong time.,2
82,Kim had eight children.,Kim was a lot less stressed and became best friends with the nanny.,Kim hired a nanny to look after her children.,Kim took care of them herself.,1
83,I don't usually listen to commercial Christmas music.,I still listen to classical Christmas albums during the season.,That is why I never turn on the radio in July.,That is why I never turn on the radio in December.,2
84,Rick's parents were quite busy these days with their business.,Rick got a surprise birthday party with lots of his friends.,Rick knew his parents remembered his birthday.,Rick did not expect his parents to remember his birthday.,2
85,Jane wanted to learn an instrument.,"Eventually, she became one of the best players in the country.",When Jane first got her bamboo flute she couldn't make a sound. She found an instructor online who wasn't able to teach her to make sounds from the foreign instrument.,When Jane first got her bamboo flute she couldn't make a sound. She found an instructor online to teach her how to make sounds from the foreign instrument.,2
86,My 98 year old friend Joe was downstairs this afternoon.,I said good luck to Joe as his daughter picked him up a minute later.,Joe was going to have surgery today.,Joe was going to have surgery next year.,1
87,Tom had a bunch of candy from halloween.,His little brother took it all.,Tom put the candy in the trash so Tom could eat it the next day.,Tom left the candy on the counter so Tom could eat it the next day.,2
88,It was one week before Christmas.,The items were shipped to my local store for free and I was happy.,The items I wanted were only available online.,The items I wanted were all sold out.,1
89,I joined my friend in the gym to lift weights.,I went into the locker room and packed up my bag for home.,The gym was closed.,I was really sweaty and felt accomplished.,2
90,Lulu got in a cab to go to meet her friend.,Thankfully she was okay though.,She got there on time.,Lula slipped and fell.,2
91,Jenn was in the car asleep as the family drove on the highway.,She let out a startled cry and ran into the gas station.,"When Jenn woke up, nothing unusual was in the car.","When Jenn woke up, nobody was in the car.",2
92,Billy's birthday was a few weeks ago.,We had an amazing time all night on the boat and the next day too.,he wanted to go sailing for his birthday.,he wanted to go sky diving for his birthday.,1
93,Patricia was spell-bound as soon as she looked into a microscope.,Patricia eventually became a biologist.,Patricia decided what she want to be when she grew up.,Patricia decided to be a ballerina when she grew up.,1
94,Sam wants to buy a new car.,Sam was forced to by a bicycle instead.,Sam did not have enough trash to buy a car.,Sam did not have enough money to buy a car.,2
95,Maria had a pain in her jaw.,She now tries to not be so lazy about her teeth.,she found out she has a bad tooth.,she found out she has a bad toothbrush.,1
96,Marsha cares for her aging father who has dementia.,This made Marsha so happy and reminded her why she does not give up.,Marsha's father thanked her and gave her a hug.,Marsha's father ignored her and gave her a slap.,1
97,Anita had a feeling her flight to Hawaii wasn't going to be good.,Anita almost used the bathroom on herself during the flight.,Anita had rational fears towards driving.,Anita had irrational fears towards flying.,2
98,David was an author that had trouble finding inspiration for his work.,David then uploaded his new video.,David decided to take a break from video production and try working in the new medium of writing.,David decided to take a break from writing and try working in the new medium of video production.,2
99,Lena was driving home from the mall.,She had to call her boyfriend to come pick her up.,Lena's car ran out of gas on the way.,Lena's bicycle ran out of gas on the way.,1
100,One day while jogging around her neighborhood Amy saw a dog.,Amy decided to adopt the dog and named him Rufus.,Amy was kind hearted.,Amy was a jackass.,1
101,Ryan was at a park.,Ryan then popped the balloon on purpose.,Celebrating his birthday with family and friends.,Ryan didn't want a birthday.,1
102,Sam wanted to try to make jam.,"However, they did not turn out like mom's jam.",Sam followed his mom's recipe exactly.,Sam followed his mom's recipe incorrectly.,1
103,I was in the gas station one day.,"I ran out to my car, found my ID and returned to the counter.",I asked to buy a pack of cigarettes and realized I didn't have my ID with me.,I didn't want to buy any cigarettes.,1
104,I wasn't feeling well yesterday.,After taking the medicine I feel much better.,So I bought medicine from the pharmacy.,I bought soup from the store.,1
105,"In Korea, McDonald's will only give you one packet of ketchup.","Looking back, I don't know if she was cute or if it was the 3 packets.",I couldn't stop staring at the little boy eating his fries.,I could not stop staring at the girl eating her fries.,2
106,Lindsay loved biking.,She then rode as fast as she could away from the area.,One day Lindsey saw a bear heading in her direction.,One day a bear saw Lindsay heading in it's direction.,1
107,George knew something was wrong when his dad wouldn't return his call.,George promised himself to enjoy life to its fullest.,George's dad was dying of cancer.,George's dad was recovering from cancer.,1
108,Kate wanted to contribute to the school's literary journal.,She was also rejected from contributing in this way.,Kate decided not to tell a story about the president.,kate decided to tell a story about the president.,2
109,Sasha spotted a spider.,It fell on the floor.,Sasha swatted at the spiders.,Sasha just watched the spier.,1
110,My friend Jake ate a burger.,His doctor gave him antibiotics to get better.,he got sick from food poisoning.,I got sick from food poisoning.,1
111,Addie was working at the mall at Hollister when a strange man came in.,Addie was put in jail for her crime.,Addie attacks the man with a bat.,Addie hugs the man with a big embrace.,1
112,"On Thanksgiving, Brian's family worked at a soup kitchen.",He hoped his family would go back to help again next year.,Brian regretfully helped a lot of people.,Brian helped a lot of people.,2
113,I was working on a presentation in my office for work.,"He said yes, I finished writing my notes, and then returned the pen.",I asked my coworker for his pen.,I asked my coworker for his job.,1
114,Riley was the head of a marketing firm.,The campaign launched according to plan and they sold record numbers.,Riley worked extremely hard at her job.,Riley quit her boring job.,1
115,Lisa was 9 months pregnant.,Lisa had her baby a week early and was very happy.,"The baby planned very well and ate well, and was ready for Lisa to come.","She planned very well and ate well, and was ready for the baby to come.",2
116,Gina's teacher wanted them to give a speech to the whole class.,"No one would laugh, because no one wanted to be laughed at.",Gina's teacher laughed in the middle of her speech.,Gina fell down in the middle of her speech.,2
117,The city was holding a Christmas light competition.,"Luckily, he ended up winning the prize.",He spent loads of money making his light display.,He spent loads of money and still didn't make his light display.,1
118,Bob met Ann and they started dating.,Bob wants to marry Ann someday but is worried he can't.,Ann is not married to anyone.,Ann is married to someone else.,2
119,Ron went to the bathroom.,"Then, he realized that there was toilet paper stuck in his waistband.",When Ron walked out he noticed people staring at him.,When Ron walked out he noticed toilet paper on his waistband.,1
120,Joey's favorite sport is baseball.,His practice paid off and he made the team.,Joey decided to try out for the team.,Joey decided to skip trying out for the team.,1
121,Lisa got a new cell phone for her birthday.,And her parents regret her buying a new phone.,Lisa promised she would not lose it and she took care of it the first day.,Lisa promised she would not lose it but she dropped it into a manhole the first day.,2
122,Jackson needs to find something to cook for guests arriving today.,He is very happy he found something to cook for them.,He looks for ideas in his head.,He looks for ideas online.,2
123,Danny was waiting for his friends to get home from school.,"His friends had come to the house, but he slept through their knocks.",Danny fell asleep waiting for his friends.,Danny watched television while waiting for his friends.,1
124,James has a work shirt.,Now James has to purchase a new work shirt.,He got a new one at work today.,He got it ruined at work today.,2
125,Darren made a commitment to eat healthier.,Derek has lost 5 pounds and loves kale now.,Darren decided to eat more leafy greens.,Darren decided not to eat more leafy greens.,1
126,It was a cold day.,Jen enjoyed her coffee.,Jen went to the bakery.,Jen went to the coffee shop.,2
127,Joe met his friend Al at the bus stop.,She had seen them through the window as she was passing by.,Al's girlfriend was in a store.,Al's brother was in a a store.,1
128,Every week at her music lesson Benisha lies.,This week Benisha practiced the flute every day.,Benisha got caught lying about practicing.,Benisha never got caught lying about practicing.,1
129,All the students at Smith school got to bring their dogs to class.,This was the best day of the year for all the neighborhood dogs.,The dogs had a terrible fight instead of playing together.,The dogs had a great time playing together.,2
130,My brother does our taxes this year.,We joked about it.,My brother has done taxes before.,My brother has never done taxes before.,2
131,My family always went on a real hunt for the right Christmas tree.,Our parents loved it because they got to find the best deal.,My family always bought the most expensive trees.,My family always found the cheapest trees.,2
132,Jason feels he should exercise more.,Jason uses the exercise bike while he watches TV.,Jason never multitasks while exercising.,Jason multitasks while exercising.,2
133,Jimmy was a guest of honor at a banquet.,It was a video of an affair Jimmy had with a woman not his wife.,Jimmy's wife made a toast.,Jimmy's wife wanted to show a video about him.,2
134,I was taking a hike last Wednesday.,I followed the road back to my car.,I did not bring a car.,A snake started to come towards me.,2
135,Charles barely knew his biological father.,His father moved Charles into his house and said to get it together.,Charles was sent to live with an uncle.,Charles was sent to live with his father.,2
136,An old man had been struck by a car one day.,One day he was able to walk with only a can and his legs recovered.,The young man needed months and months of therapy.,The old man needed months and months of therapy.,2
137,Stan wanted to live in a castle.,Stan sold the castle.,Stan bought the castle but then realized it was too big.,Stan bought a little house to reside in.,1
138,Ray went for a walk outside.,Ray wished he had checked the weather forecast before walking.,ray brought an umbrella and it started raining.,Ray didn't bring an umbrella and it started raining.,2
139,Max was on his school bus.,Then they discovered some old food left under a seat.,Max exited the school bus.,Max told his friends that something smelled bad.,2
140,Miranda is married to Bob.,Miranda decides to take on a second job.,Bob becomes rich.,Bob falls into severe debt.,2
141,Tia wanted to make something to sell at the craft fair.,Tia then made pretty labels to put on each bar.,Tia baked chocolate brownies.,Tia baked chocolate bunnies.,1
142,Cruz was a quiet kid.,Cruz was no longer a target for the bullies.,Cruz then stood up for himself.,The bullies then stood up for themselves.,1
143,Madelynn wanted to go to her friends house for a sleepover.,Madelynn had a lot of fun and wanted to go back again.,Madelynn and her friends cleaned and swept.,She and her friends did many activities.,2
144,I bought a used paperback from amazon for a penny.,I bought the hardcover version for a dollar plus $4 for shipping.,The book was damaged during shipping.,I changed my mind and returned the book without buying another.,1
145,Anna's aunt died.,Anna was touched and relieved by the sign.,Annas friend made a sign for her aunt.,Anna's aunt made a sign for her friend.,1
146,Luke was new to the area.,Luke now has his supplies for his home.,He stopped by a department store for some necessities.,He stopped by a make up store for some lipstick.,1
147,Marco was a foreigner.,He was a hard worker so he made them look bad.,The business wanted to hire Marco.,The business wouldn't hire Marco.,2
148,Peter was late to work.,This definitely wasn't a good start into the day for Peter.,Peters boss yelled at him for being late.,Peter then spilled coffee on his suit.,1
149,Leslie was in charge of the parks and recreation department.,A lot of people showed up and she raised a lot of money.,Leslie decided to hold a charity event.,Leslie decided to cancel a charity event.,1
150,Katherine's dogs love to play outside.,The owner of the other dog apologized to Katherine for what happened.,A neighbor's cat attacked Katherine's dog.,A neighbors dog attacked Katherine's dog.,2
151,Dan's shower keeps backing up.,After he does that the shower stops backing up.,Dan pours some de-clogging liquid down the drain.,dan left him behind.,1
152,Ryan loves wearing sweaters.,He was sweating in his sweater throughout the entire day.,Ryan put his sweater on.,Ryan put his sweater away.,1
153,I smelled smoke in the air during my hike.,Far in the distance I could see a fire growing.,I turned north and that is when I saw the rainbow.,I turned north and that is when I saw it.,2
154,Lisa met her friend Eric while running in the park.,Lisa was delighted when Erik finally asked her on a date.,Lisa and Erik begin spending a lot of time together.,Lisa and Erik begin to grow to hate each other.,1
155,It was Tina's first day of school.,She never wanted to wear it again.,Everyone complimented Tina because of her dress.,Everyone laughed at Tina because of her dress.,2
156,Spencer applied to nine different colleges.,Only the safe schools accepted Spencer.,Spencer decided to apply to unsafe colleges.,Spencer decided not to apply to unsafe colleges.,2
157,Tina loved Pinot Grigio.,It turned out to be a hit.,She decided to make her own beer.,She decided to make her own wine.,2
158,Sebastian noticed it was sunny and warm out.,Sebastian felt like staying inside that day.,Sebastian felt really good that day.,Sebastian felt sick that day.,2
159,Kelly loved Halloween.,Then she passed out candy to trick-or-treaters!,Kelly decorated her house.,Kelly didn't decorate her house.,1
160,Francis drove to Chicago for a concert.,Francis left the concert disappointed.,The concert was not as good as Francis hoped.,The cheesecake was not as good as Francis had hoped.,1
161,Mike dropped out of college after taking out student loans.,"Mike did not know what to do, so he quit his job out of frustration.","Mike immediately started working, even without experience.","Mike immediately started stealing, even without experience.",1
162,I love the game of basketball.,My goal is to one day play college ball as well.,I rarely practice playing basketball.,I practice playing basketball daily.,2
163,Sally forgot to pay her electricity bill.,Sally got excited and hugged malek.,Sally was told by Malek that he would pay it for her.,Sally was told by Malek that he would not pay it for her.,1
164,My wife and I decided to take a romantic vacation.,We are still going through with the divorce.,To try and work out our taxes.,to try and work out our problems.,2
165,Sara wanted to make dinner for some guests.,She had to order pizza for her friends instead.,Sara burned the dinner.,Sara cooked the dinner.,1
166,Martha was just getting home from work.,He apologized but she left him anyways.,Her husband was in love with her.,Her husband was cheating on her.,2
167,My youngest son absolutely loves Minecraft.,"As soon as he told her about it she said ""What is Minecraft"".",His grandmother ask what my son was doing after school.,His grandmother ask what my son was doing after school playing soccer.,1
168,I love going to concerts and have always wanted to crowd surf.,"I only stayed up for about 30 seconds, but it was fun!",so i got on stage an jump in to the crowd.,So I got on stage but was scared to jump.,1
169,Mike went to a used book store to find a book to read.,He used the money to buy the book.,Mike found money on a bookshelf.,Mike found a spider on a bookshelf.,1
170,Amy had heart palpitations after a lot of caffeine.,By the time she arrived her heart felt much better.,Amy decided to go to the restaurant to get it checked out.,Amy decided to go to the ER to get it checked out.,2
171,I am an avid coin collector.,I was disappointed as i headed back home.,I took one of my favorite coins to the coin collector store to see what it was worth and it wasn't very much.,I took one of my favorite coins to the coin collector store to see what it was worth and it was very much.,1
172,I once knew a girl named Francesca.,Eventually we decided that we should break up and move on with our sep,Francesca and I never got out of the friend zone and never dated.,Francesca and I dated.,2
173,My sister found out that I like a nerdy tabletop game.,I will invite her again next time we play.,We both played and had fun.,We both played and had a miserable time.,1
174,Fred had a huge crush on a girl in his class.,"When Fred finally spoke to the girl, they got along great.",Fred refused to introduce himself.,Fred decided to introduce himself.,2
175,"Gina had taken the streets on a icy, snowy day.","It was packed with traffic, but at least the roads were clear.",The grocery store parking lot was full.,The grocery store parking lot was empty.,1
176,Paul was carrying his dishes to the sink.,Paul had a huge mess to clean up.,Paul accidentally dropped the dishes.,Paul never dropped the dishes.,1
177,There use to be a white cat that greets me every day at my porch.,I checked the attic and sure enough there was the cat.,I saw it this morning.,I didn't see it this morning.,2
178,I was oiling my son's baseball glove.,We passed the display case where that bat used to be.,We visited the museum that had his bat as well.,We left the museum that had his ball as well.,1
179,Jon has a big test this Friday.,Jon is confident that he will pass.,Jon studied for a long time.,Jon studied for only ten minutes.,1
180,Stacey wanted to surprise her boyfriend.,They had a lot to eat.,"She ordered 3 pizzas, Burgers and drinks.",She ordered 1 burger and no drinks.,1
181,A man went to dig a hole in his yard one day.,The policeman grabbed the shovel and snapped it in two.,A man wants to buried a dead body.,He wanted to plant pretty flowers.,1
182,Sam always wanted to save up and buy a computer.,Sam was devastated when he came home to an empty box.,His computer was delivered but stolen by someone.,His shoes were delivered but stolen by someone.,1
183,Thomas loved his cat Jingles.,Now Thomas is sad.,Jingles ran away from home.,Jingles ran to greet Thomas.,1
184,Kristi's parents own a sailboat.,Carrie had so much fun that day that she is now saving for a sailboat.,Kristi asked Carrie to join on the boat but it ended up raining.,Kristi asked Carrie to join on the boat.,2
185,Amy and her friends were almost busted out after curfew.,But finally they were at her house and they could stop running.,They had to run to get Amy home before her curfew.,They had to crawl to get Amy to bring her home before the curfew.,1
186,Tim had a problem.,This helped him pay all of his bills on time.,The money manager solved the problem by hiring Tim.,Tim solved his problem by hiring a money manager.,2
187,I have a date with Grandpa today.,I love spending my days with grandpa.,I always look forward to seeing Grandpa.,I always looked forward to seeing grandma.,1
188,Martin and the girls went to the local beach for fun.,Martin was thankful he took his friends there.,Martin had a great time with them.,Martin had a terrible time there.,1
189,Mark went to the shopping mall to look for some shoes.,"Mark didn't find the shoes he was looking for, but he didn't mind.",the mall was extremely crowded and noisy.,The mall was empty and Mark found a shirt to buy.,1
190,I received a phone call at work from a new construction company today.,"By the end of the day, I sold 5 trucks and gained a new customer.",I was unfriendly and cold.,I was friendly and outgoing.,2
191,Dan painted a string of swastikas on the curb in front of his house.,Dan quickly painted over the symbols with a coat of yellow paint.,People called Dan a nazi piece of trash.,People called Dan a respectable man.,1
192,"Joe's roommate, Steve, was taking flying lessons.","Upon landing, Joe was grateful to still be alive!",Steve took Joe on a fishing trip.,Steve took Joe on the bumpiest flight of his life.,2
193,Randy had a home snow-cone maker.,Then he ate his snow cone.,he went outside and scopped some dog shit up.,He went outside and scooped some snow up.,2
194,Stanley got extremely furious when there was no cooked food home.,He said that it wasn't necessary since he was living with them.,His roommates said he should cook his own food.,His roommates said he should cook his own whales.,1
195,Amy disliked Sue.,The girls became best friends.,Then Amy and Sue got partnered on a school project and hated each other.,Then Amy and Sue got partnered on a school project and had to spend time together.,2
196,I started a diet yesterday.,I was proud of my willpower.,I pushed away the doughnuts and soda my coworkers offered me.,I pushed away the carrots and tea my coworkers offered me.,1
