,video-id,fold-ind,startphrase,sent1,sent2,gold-source,ending0,ending1,ending2,ending3,label
30,lsmdc0049_Hannah_and_her_sisters-69525,3021,"He stands up and begins to pace behind someone. He sits down again, in a chair next to someone; the ketchup bottle",He stands up and begins to pace behind someone.,"He sits down again, in a chair next to someone; the ketchup bottle",gold,loaded to his glass.,sits in front of him.,is being stained with blood.,raises slowly under the chin for something to happen.,1
31,lsmdc0043_Thelma_and_Luise-68464,4037,A finger reaches up and presses down the lever and hangs up the phone. She,A finger reaches up and presses down the lever and hangs up the phone.,She,gold,watches sharply as he dumps it into his briefcase.,walks to the counter.,circles the canister and finds the needle.,has her finger on the lever.,3
32,lsmdc3011_BLIND_DATING-750,8849,There he closes the door and turns away with a frown. Someone,There he closes the door and turns away with a frown.,Someone,gen,looks to his left then pauses and strides through a doorway.,is looking out a window.,watches someone as he listens to his radio.,holds out the thermometer.,0
33,anetv_4A49mkP6HsM,11335,The performer sings as he plays the violin and then bows down in front of the audience. The crowd,The performer sings as he plays the violin and then bows down in front of the audience.,The crowd,gold,cheers and claps for him.,speaks to an audience about the game.,claps and stays in position.,claps as he makes his way across the stage then audience.,0
34,lsmdc1020_Crazy_Stupid_Love-81734,12271,He holds out his hand. Someone,He holds out his hand.,Someone,gold,'s face is black and white.,'s mother hesitates for the headstone lock.,hands a few coins on gear and taps it in the case.,hands him a photo - sized envelope.,3
35,lsmdc0030_The_Hustler-64872,4796,He takes a seat next to someone. As the cards are dealt someone,He takes a seat next to someone.,As the cards are dealt someone,gold,puts on a lipstick and continues to read the bottom of the letter.,bends down and spots the tray of cards.,pulls out a rubber letter.,steals a glance at the man he has come to see.,3
36,lsmdc3042_KARATE_KID-19490,8609,He halts and eyes its neon sign. A crowd of adults and children,He halts and eyes its neon sign.,A crowd of adults and children,gen,come outside on a bustling street.,arrive on a table followed by a group of white children.,are approaching someone a beachfront.,run through the rain.,0
37,anetv_pmix_U52VWk,8773,A boy is standing behind a music stand playing a flute. He,A boy is standing behind a music stand playing a flute.,He,gold,stops playing and smiles before walking away.,demonstrates various slow dancing moves.,starts playing the guitar in the background.,is playing the piano in front of the stage.,0
38,lsmdc3080_THIS_MEANS_WAR-37105,12791,He throws him down again. Someone,He throws him down again.,Someone,gen,clutches the poles against him.,listens into the radio.,is drawn him to the side of the wooden structure.,pats him on the leg.,3
39,anetv_llcbN-s26vs,9457,She measures the wallpaper to make sure it's straight. The woman,She measures the wallpaper to make sure it's straight.,The woman,gold,"folds, pauses the comb, places a brush amongst the shelf, and begins on the excess corners onto the table.","cleans her shoes, then wipes off more layers of clothing to cut a shoe.",places a tool on the top and bottom of the wallpaper and removes any extra wallpaper.,uses the paint same section.,2
40,anetv_IWhEUNOUIyc,9701,"Then school children are shown playing recorders in a classroom, and an old man that visits them is a highlight. At the end the two sections of video","Then school children are shown playing recorders in a classroom, and an old man that visits them is a highlight.",At the end the two sections of video,gold,are shown again followed by th woman poses.,are shown with black and white photos.,ends with a record playing on a screen.,are shown side by side and then the television channel's logo.,3
41,anetv_reit7blyxIo,11341,A man is lying in bed under the covers. He,A man is lying in bed under the covers.,He,gen,is sitting on a sofa next to a pile in his garden.,is asleep in bed.,is using her to know something.,wakes at her bedside.,1
42,anetv_ouEWLFNLLos,2091,"The man turns around and points and scolds the bird and continues to walk. The man then bends down near some stairs, wipes the outside of the building and the bird",The man turns around and points and scolds the bird and continues to walk.,"The man then bends down near some stairs, wipes the outside of the building and the bird",gen,passes another man to help the blower.,can be seen coming on.,drops onto the grass.,startles him from behind.,3
43,anetv_J8VMY1SPJaY,12963,A woman is seen speaking to the camera that leads into clips of people riding in kayaks and camels wandering around. More clips,A woman is seen speaking to the camera that leads into clips of people riding in kayaks and camels wandering around.,More clips,gold,are shown of people riding around the exercise and attempting to pull down the rope.,are shown of the riding around on the camels while people riding and camels and two dogs still speak.,are shown of people riding around the water in a kayak.,are shown of people playing in the water as well as people riding down camels.,2
44,anetv_mFWRIp164r4,913,"A man wearing a turban takes a water bottle, pours water onto his hands, then drinks some water and spits it out. Another man","A man wearing a turban takes a water bottle, pours water onto his hands, then drinks some water and spits it out.",Another man,gold,grabs the bottle from him and pours it onto another man's hands who rinses his hands off.,strike again with a spray bottle of blood.,comes out for him and remembers him pushing them against the wall.,records the bottle and gives a noisily throw.,0
45,anetv_ISJodiRZ_uo,3012,The girl brushes the horse's mane. The two,The girl brushes the horse's mane.,The two,gen,girls rapidly begin surfing in the stands.,continue to groom the horse.,salute her and continue grooming.,girls begin to brush off in unison.,2
46,lsmdc3072_THE_GIRL_WITH_THE_DRAGON_TATTOO-34373,11249,"As his prisoner continues to gasp for air, he presses on his midsection with his fingertips. Meanwhile, someone","As his prisoner continues to gasp for air, he presses on his midsection with his fingertips.","Meanwhile, someone",gold,stands outside a video tent holding the younger woman's hand.,signals as someone and a mother arrive.,creeps along someone's way.,enters the basement wielding a golf club.,3
47,lsmdc1055_Marley_and_me-96374,3078,"Someone's holding a stuffed alligator. With the alligator under her left arm, she",Someone's holding a stuffed alligator.,"With the alligator under her left arm, she",gold,reaches her door shut and aims.,hauls open the garage door and stares at a scene of devastation.,takes one of the sailors from a type of plastic folded down by her hand.,drives her new savings.,1
48,anetv_kr4RUFi1UGs,17475,Two men are rappeling up the side of a steep rock cliff. One of the men,Two men are rappeling up the side of a steep rock cliff.,One of the men,gold,begins to take a shot stance and they board off into the trees.,is joined by dozens of people standing in the woods near them.,is climbing the ladder on the very side ladder.,"climbs about halfway up, before letting go and releasing himself back toward the ground.",3
49,lsmdc0011_Gandhi-53150,2321,She is photographing his getting - up and leaning on the two girls. He,She is photographing his getting - up and leaning on the two girls.,He,gen,is clay to the couch with his back to them.,comes into the bedroom and wipes it into a blue light.,watches the old and bald clash wife.,gets up and goes to to others.,3
50,lsmdc3023_DISTRICT_9-10945,9590,"He reaches a run - downed shack, peers through the window. With a glance at the dismal slum, he","He reaches a run - downed shack, peers through the window.","With a glance at the dismal slum, he",gold,arrives at his house.,strolls across the street to the front hall.,shuffles backward into the shanty.,shoves his finger ahead.,2
51,anetv_plMBtIbzX6w,8941,We see an opening title screen. A man in a blue shirt,We see an opening title screen.,A man in a blue shirt,gold,is kneeling at a tiled beach.,holds an orange bowling ball.,is paddling in a room with kids or flowers.,sits next into a large table and picks up a utensil and sticks.,1
52,lsmdc3021_DEATH_AT_A_FUNERAL-1326,10507,"On the couch in the study, someone dances around in circles. Back in the bathroom, someone","On the couch in the study, someone dances around in circles.","Back in the bathroom, someone",gold,blots his face with a towel.,pulls on his fake rucksack.,lies on a sofa watching tv.,drapes a hand over his face.,0
53,anetv_Vkr3r1Cd0mI,15208,The lady continues talking and begins talking about various products such as the blow dryer and its special features. She,The lady continues talking and begins talking about various products such as the blow dryer and its special features.,She,gold,sections of the mans hair is shown and there's a bit of makeup in a braid she uses when to separate the hair.,is wearing a barefoot maid suit in a hat and screen.,finishes looking smile and walks by smiling to the camera.,continues to talk about different brushes and how they are used.,3
54,lsmdc1012_Unbreakable-7185,13763,He backs into a maintenance man in orange overalls pushing a trash bin on wheels. A man,He backs into a maintenance man in orange overalls pushing a trash bin on wheels.,A man,gold,opens his front door to the maintenance man now in an orange t - shirt.,plays an drums with his paddle.,sets up next to a grass covered ground.,walks through a small pinata to the female boy with a small bag behind his back.,0
55,lsmdc1045_An_education-90124,6630,"Then someone smiles, stands and moves to her. He","Then someone smiles, stands and moves to her.",He,gold,holds a letter from her standing hand and steps toward her.,follow the others as he smashes.,pulls her nightie back on.,"comes out of her glade, wearing her bathing suit as he picks up his blanket.",2
56,lsmdc1044_Pride_And_Prejudice_Disk_Two-89700,2387,"A number of guests are gathered in the drawing room to listen, including People, who has a sour look on her face. Someone","A number of guests are gathered in the drawing room to listen, including People, who has a sour look on her face.",Someone,gold,leaves turning an elderly grown haired man wearing a tuxedo.,smiles over at someone.,come down on a dark - haired lad.,turns to hit the foosball wall.,1
57,anetv_lJeJ2LFna5o,15786,The players teammate dives to hit the ball. The other player,The players teammate dives to hit the ball.,The other player,gen,"hits through the net, throwing it rocket taken.",in blue is gets for the position and introduced to the teammate.,hits the ball to his teammate.,hits the ball that falls into the ground.,2
58,lsmdc3031_HANSEL_GRETEL_WITCH_HUNTERS-1806,17862,"With a last look, the troll leaves. Someone","With a last look, the troll leaves.",Someone,gold,sees a mortar charging for the door and scurries onto a roof.,looks around in frustration.,faces a teen's silhouette as he shines his sword in a clicking light.,peers around suspiciously at the sleeping little boy.,1
59,anetv_hBjVRKwCUNA,17308,"After, the man walks to the path and jumps rope, then he exercise bending his legs while talking. Next, the man exercise in the monkey bars,","After, the man walks to the path and jumps rope, then he exercise bending his legs while talking.","Next, the man exercise in the monkey bars,",gold,going down the rope next to the horse.,gets to the wall and turns on the handle machine.,jumps rope and bend his legs.,"goes to a bunch of exercise machines, eventually takes another mop and positions it across the bar while showing flips.",2
60,anetv_tqanHyXTFFw,124,A woman is seen speaking to the camera that leads into a man speaking to a group. Another man,A woman is seen speaking to the camera that leads into a man speaking to a group.,Another man,gold,is seen standing in front of a mirror and leads into him decorating the other.,practices sitting on the frame while the camera pans close to the woman.,speaks to the camera while the demonstrator points to a bike and takes off a wheel.,is seen going down the slide into frame with an image of himself.,2
61,lsmdc3082_TITANIC1-38217,14013,"As she reaches the elevator, an elevator operator with dark blonde hair stops her. Someone","As she reaches the elevator, an elevator operator with dark blonde hair stops her.",Someone,gold,"ushers him into an elevator, lobby in the open.","glances around thoughtfully, then turns her head toward his.",shoves the operator into the elevator.,runs his hand through her hair.,2
62,lsmdc0011_Gandhi-52994,10690,"He sweeps them sternly with his eyes, all his fatigue and strain showing. And he","He sweeps them sternly with his eyes, all his fatigue and strain showing.",And he,gold,sits in suddenly as it jostles back to reveal the world's scaly form.,"lowers his head and moves on to the car, where someone holds the door for him, people following.","twitches a little sigh, and then sees his wife in some different mature plants in the kitchen.",keeps the camera across someone.,1
63,lsmdc3062_SORCERERS_APPRENTICE-30863,11886,"Later, he mops up the spilled soda. He","Later, he mops up the spilled soda.",He,gold,gives a sharp glance toward the arena.,eyes takeout containers and a pizza box.,notes him on his cereal mound.,catches his daughter's blood.,1
64,lsmdc1052_Harry_Potter_and_the_order_of_phoenix-94612,10924,Someone uses his wand to hurl the dazzling light towards it. The creator,Someone uses his wand to hurl the dazzling light towards it.,The creator,gen,is faces thick with tenderness.,clowns crash across the ceiling.,unleashes the silhouettes and they it clank like bony green creatures.,"narrows his eyes, then notices a golden glow on the marbled surface.",3
65,anetv_iiyYRmc1YiA,6098,"The men begin their arm wrestling match, and the guy on the right wins. The guys","The men begin their arm wrestling match, and the guy on the right wins.",The guys,gold,shake hands as they walk back and forth.,shake hands and hug.,shake their sticks and stick to their fight.,"match wins and shake each other, and then eventually wins.",1
66,anetv_d7gY7YJ3Fdc,14518,A person is seen sitting on the couch. The person then,A person is seen sitting on the couch.,The person then,gold,starts rubbing the clothes on the machine.,begins putting the tree up on the floor.,rubs the vacuum out and uses as glass solution to rinse the rims.,puts one shoe on then the other.,3
67,lsmdc3089_XMEN_FIRST_CLASS-43481,2544,"Someone flips three switches, then grips a lever and slides it upward. Two rods rise from the pillar and someone","Someone flips three switches, then grips a lever and slides it upward.",Two rods rise from the pillar and someone,gold,flips over the gap on the boards.,yanks her wand onto the stage belt.,starts to pull himself straight in there direction.,clutches them with both hands.,3
68,anetv_pnxgTQofPQo,9661,Four boys are playing outside in the dirt. They,Four boys are playing outside in the dirt.,They,gen,are wearing cars and preparing to skateboard.,are hiking through the water under a large track.,begin playing bagpipes and playing to the camera.,are alerted by a fish.,1
69,lsmdc3051_NANNY_MCPHEE_RETURNS-24604,12523,He flies to the fireplace and grabs the letters. Edelweiss swoops,He flies to the fireplace and grabs the letters.,Edelweiss swoops,gen,back out of the pipe.,kicks someone in the face.,down after someone.,aside and looks back down at its ruins of someone.,0
70,anetv_fU-OulK7lZs,10048,People are sitting in the stands cheering for them. They,People are sitting in the stands cheering for them.,They,gold,turn back to the white white team and stop cheering.,start celebrating and holding a trophy.,are both playing volleyball.,look and start dancing their instruments back and forth.,1
71,anetv_YRp5nE0Hlsc,11644,The person does a shuffle and dance then falls to the ground before getting up and dancing more. The person,The person does a shuffle and dance then falls to the ground before getting up and dancing more.,The person,gen,begins to move rhythmically to the music.,continues spinning the routine and ends with the baton moving over squares.,is lighting down positions and the head then continue moving along blue and fourth avoiding them.,does a flip continuously while the audience is holding and watching his performance.,0
72,anetv_DZrCkQ2z-u4,6023,He spins and turns on the beam several times. He,He spins and turns on the beam several times.,He,gold,celebrates and drills the handstands.,"picks up speed above his tank and releases his speed, spinning.","dismounts, raising his arms in the air.",rises and walks back to the mat and gets into his horse.,2
73,lsmdc3014_CAPTAIN_AMERICA-5613,805,"Rockets spin three large fins like a fan, propelling the craft into the sky. Someone","Rockets spin three large fins like a fan, propelling the craft into the sky.",Someone,gen,narrows his eyes in shock.,"in the elaborate character of the end, someone and their mother fly on a whistle near the bottom of the tower.",swims along the waves and fire coolers in ghostly cloud heads flood into the house.,stares at his kill.,0
74,lsmdc3083_TITANIC2-39387,4122,Someone turns the wheel until it stops. Someone,Someone turns the wheel until it stops.,Someone,gold,"'s daughter topples with a gun, as the agent stands in the opposite seat.",hurries to the bridge rail and peers at the iceberg.,"containing fear, suspiciously half - dozen people get out of one of the rafts hustling to go down on a plain after us.","stands on the beige street sitting on the inside's a piano, turning off his lights, and then turns to kiss someone.",1
75,lsmdc0049_Hannah_and_her_sisters-69153,17069,They walk offscreen and the film cuts to people's living room. The room is brightly lit; it,They walk offscreen and the film cuts to people's living room.,The room is brightly lit; it,gold,is decorated in moonlight.,'s a cardboard carpet shop with a lady carrying a things in her hand.,"is a parade, and candles are everywhere.",'s cluttered with pillows and plants.,3
76,lsmdc1017_Bad_Santa-7578,11437,Someone puts his stuff down on a bed and begins taking off his fake snow - covered boots. He,Someone puts his stuff down on a bed and begins taking off his fake snow - covered boots.,He,gen,pulls someone his pocket.,bends over a chair.,reveals both for someone on his back.,picks up a pile of flyers.,1
77,lsmdc3038_ITS_COMPLICATED-17379,1163,Someone smiles at him then sobers. She,Someone smiles at him then sobers.,She,gold,spills another drink into someone's cup.,aims the remote at the tv.,reaches out her arms.,takes a tennis stance.,1
78,anetv_nkrA8sJydF0,313,A close up of a machine is shown followed by a man speaking to the camera. The man,A close up of a machine is shown followed by a man speaking to the camera.,The man,gen,moves the ball around while stopping to speak to the camera in front of him.,continues using the plaster around while pouring it around the frame.,then continues playing harmonica followed by another man speaking to the camera.,continues petting the man and ending with the man speaking to someone.,0
79,anetv_dFgwKTH-FhY,1786,People are going down the waterfall on blue rafts. A man,People are going down the waterfall on blue rafts.,A man,gold,is skiing down a hill on a hill.,is standing in the water watching them go by.,"approaches a river outside orange water, then places a large surface in the water.",is going up stairs because he's like a little kid.,1
80,anetv_rua32XjJh54,10456,We see a young man with longer hair being interviewed followed by two girls. We,We see a young man with longer hair being interviewed followed by two girls.,We,gold,"see the boy curl, then be interviewed and a girl interviewed.",see them from across.,see them turning on the tattoo.,see many score bulls.,0
81,lsmdc1056_Rambo-97024,9950,"The commander and the subordinate have an overview of a larger compound, in which the pigs roam freely. Their hands","The commander and the subordinate have an overview of a larger compound, in which the pigs roam freely.",Their hands,gold,"dangle about a few stacks, then stop.",hover atop the dead - glass line.,see someone over their combined gray - holes man.,are tied behind them.,3
82,anetv_uz91AvGxjbw,2661,"People play croquet in a field, a man hits a ball to score. After, the man","People play croquet in a field, a man hits a ball to score.","After, the man",gold,hit on the ball and celebrates.,fall off.,hits a yellow ball with a stick.,"takes the racket on the roof of the large stadium, jumps, and lands as he runs on the field.",2
83,anetv_pPrW3iW0DA8,1156,He throws a disc across the yard. He,He throws a disc across the yard.,He,gen,has put a second pole down on a plant.,is shown again in slow motion.,bounces up the side of the board doing a sharp turn.,passes the zombie and knocks it over on his back.,1
84,lsmdc3031_HANSEL_GRETEL_WITCH_HUNTERS-1999,15131,Someone stands with her wand ready after assaulting someone with a spell. She,Someone stands with her wand ready after assaulting someone with a spell.,She,gen,"goes back, ripping the diary.","reaches for the weapon, tears backs apart.",follow him into the cafe.,drops to her knees and looks around for the wand.,3
85,lsmdc3035_INSIDE_MAN-2132,3358,Someone stares at him gravely. Someone,Someone stares at him gravely.,Someone,gen,repeats the same action.,nods and glances at the food tray.,nods and walks toward him.,aims his rifle at the guards and finds the girls body lookout.,2
86,lsmdc1004_Juno-6571,8732,A punk girl sits in reception playing on her game console. Someone,A punk girl sits in reception playing on her game console.,Someone,gold,stares off into the night.,helmet and news captions appear on the screen.,wanders into the lobby and steps up to the counter.,sets a set of weights down on one knee.,2
87,lsmdc1018_Body_Of_Lies-80087,9361,Someone waits in the meeting room. Someone,Someone waits in the meeting room.,Someone,gold,nods and glances at the building.,leans in with someone and kisses her.,sinks to the floor and presses the button.,"walks to the landing, finds someone clothed in bed.",0
88,anetv_iHm8ZXs2XdY,13642,A woman is brushing her hair. She,A woman is brushing her hair.,She,gold,sprays her hair with a blow dryer.,holds up the brush and begins to brush her hair.,puts a clip in her hair.,starts styling her hair for a long time.,2
89,lsmdc0009_Forrest_Gump-50643,8140,A large mural of someone hangs on the wall. Someone,A large mural of someone hangs on the wall.,Someone,gen,"wakes suddenly, fascinated and trickling gradually before he races toward the wall.",runs up to someone and releases him.,"steps out, tosses his wand, and holds it up to someone.",places his backpack on her shoulders.,0
90,anetv_YNo7-L8VQWw,10112,He begins to wipe snow off the side of a minivan. A yellow tractor,He begins to wipe snow off the side of a minivan.,A yellow tractor,gen,rides a cart in a large caped park.,is driving low in a house.,starts going down the street.,is narrowly missing him.,2
91,lsmdc3089_XMEN_FIRST_CLASS-43018,5696,"The agent accidentally shoots someone's hostage and the teleporter vanishes. At the other window, someone",The agent accidentally shoots someone's hostage and the teleporter vanishes.,"At the other window, someone",gen,pretends to know where someone clinging.,sees someone and walks away.,gets up after his dorito.,watches his son enter.,1
92,anetv_EfQtRtIFGVo,6384,The brush makes several lines on the nails and shows celebrities with fashionable nails. The video,The brush makes several lines on the nails and shows celebrities with fashionable nails.,The video,gold,returns to various parts of the tattoo print.,ends with the person spraying the floor.,ends by an various machine and various tools at the bow.,speeds up and shows off several different designs for nail polish and examples.,3
93,anetv_jaRSbVCkxlU,12109,Woman cuts the door and spread chocolate cream on he top and put another layer of cake. the woman,Woman cuts the door and spread chocolate cream on he top and put another layer of cake.,the woman,gold,puts two potatoes on the table.,spread the chocolate cream again in the top and put another layer of cake and spread the cream on top and at sides.,puts the rubber sandwich on the oven.,put the fruit on the top and then take some of the sugar off and put them in a present.,1
94,lsmdc3058_RUBY_SPARKS-28255,5784,"The brothers look each other in the eye. Later in his office, someone",The brothers look each other in the eye.,"Later in his office, someone",gold,reads someone's name.,remembers someone playing with her husband.,gathers the pages of his manuscript.,sits reading the diary.,2
95,anetv_niHEMszTMBU,12678,He then shows how to set up wood for a fire. The camera,He then shows how to set up wood for a fire.,The camera,gold,goes back to him standing.,shows a strong fire and a kite flying in the air.,pans around one instructing many people sitting around him watching the game.,pans around the area for the tubers continuing in the area.,0
